Model,Train,Mid IsoFLOP,Test IsoFLOP,Test IsoToken
NQS,2.7684620587433602e-05,1.556029967860328e-05,2.537182139013583e-05,5.580945177514859e-05
Chinchilla,8.262914921321853e-06,2.552205060465513e-05,9.025389742505406e-05,9.831508568216183e-05
