N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,train_ind,test_ind,mid_ind,split,nqs_huber_loss,chin_huber_loss
250000,865,6368,920000,217472.0,705064960,4.051926275498177,4.1438822746276855,isoflop,4.192523874470152,True,False,False,train,2.1940704296131876e-05,1.1169813344203251e-05
250000,865,6368,920000,217472.0,705064960,4.051926275498177,4.1438822746276855,isoflop,4.192523874470152,True,False,False,train,2.1940704296131876e-05,1.1169813344203251e-05
500000,610,4055,920000,484096.0,316614400,3.8569687114186015,3.869227886199951,isoflop,3.8683677570144384,True,False,False,train,2.673407488270108e-06,2.471412887466968e-08
500000,610,4055,920000,484096.0,316614400,3.8569687114186015,3.869227886199951,isoflop,3.8683677570144384,True,False,False,train,2.673407488270108e-06,2.471412887466968e-08
1000000,463,2838,920000,911712.0,168191232,3.703127677548421,3.675530910491944,isoflop,3.70697165055497,True,False,False,train,6.980193155590564e-06,8.01768892485083e-06
1000000,463,2838,920000,911712.0,168191232,3.703127677548421,3.675530910491944,isoflop,3.70697165055497,True,False,False,train,6.980193155590564e-06,8.01768892485083e-06
1000000,848,6201,3680000,911712.0,673081344,3.564254743063251,3.5142624378204346,isoflop,3.5080529966374434,True,False,False,train,1.3625313306890374e-05,1.2684887155267059e-06
1000000,848,6201,3680000,911712.0,673081344,3.564254743063251,3.5142624378204346,isoflop,3.5080529966374434,True,False,False,train,1.3625313306890374e-05,1.2684887155267059e-06
2000000,316,1724,920000,2197440.0,69732352,3.6262221774790575,3.616412401199341,isoflop,3.6154981529382,True,False,False,train,2.208898860473097e-06,3.196334292215991e-08
2000000,316,1724,920000,2197440.0,69732352,3.6262221774790575,3.616412401199341,isoflop,3.6154981529382,True,False,False,train,2.208898860473097e-06,3.196334292215991e-08
2000000,578,3772,3680000,2197440.0,279067648,3.431485016287226,3.330634832382202,isoflop,3.329460873421876,True,False,False,train,2.9330190659390967e-05,6.214052161996977e-08
2000000,578,3772,3680000,2197440.0,279067648,3.431485016287226,3.330634832382202,isoflop,3.329460873421876,True,False,False,train,2.9330190659390967e-05,6.214052161996977e-08
2000000,1056,8246,14700000,2197440.0,1114595328,3.31365708476903,3.190852642059326,isoflop,3.1682115006910365,True,False,False,train,3.726427193355802e-05,6.6209336887614325e-06
2000000,1056,8246,14700000,2197440.0,1114595328,3.31365708476903,3.190852642059326,isoflop,3.1682115006910365,True,False,False,train,3.726427193355802e-05,6.6209336887614325e-06
2000000,1934,18074,59000000,2197440.0,4474254848,3.268903006261132,3.1012086868286133,isoflop,3.076891044867474,True,False,False,train,5.216252205719657e-05,7.372248297078554e-06
2000000,1934,18074,59000000,2197440.0,4474254848,3.268903006261132,3.1012086868286133,isoflop,3.076891044867474,True,False,False,train,5.216252205719657e-05,7.372248297078554e-06
4000000,234,1171,920000,4369568.0,35073792,3.576732113856768,3.6576504707336426,isoflop,3.6533963726602647,True,False,False,train,2.1871427206828054e-05,6.637453964155054e-07
4000000,234,1171,920000,4369568.0,35073792,3.576732113856768,3.6576504707336426,isoflop,3.6533963726602647,True,False,False,train,2.1871427206828054e-05,6.637453964155054e-07
4000000,428,2563,3680000,4369568.0,140411392,3.329024808988005,3.27344274520874,isoflop,3.273537696798542,True,False,False,train,1.6337152593446535e-05,4.2068050825326776e-10
4000000,428,2563,3680000,4369568.0,140411392,3.329024808988005,3.27344274520874,isoflop,3.273537696798542,True,False,False,train,1.6337152593446535e-05,4.2068050825326776e-10
4000000,783,5594,14700000,4369568.0,560653056,3.165220204043689,3.0600175857543945,isoflop,3.0594958782897628,True,False,False,train,3.330196498693633e-05,1.4536180592010492e-08
4000000,783,5594,14700000,4369568.0,560653056,3.165220204043689,3.0600175857543945,isoflop,3.0594958782897628,True,False,False,train,3.330196498693633e-05,1.4536180592010492e-08
4000000,1434,12258,59000000,4369568.0,2249980416,3.0766515839574264,2.9406659603118896,isoflop,2.938264476053034,True,False,False,train,4.47057847332572e-05,3.3372818757069263e-07
4000000,1434,12258,59000000,4369568.0,2249980416,3.0766515839574264,2.9406659603118896,isoflop,2.938264476053034,True,False,False,train,4.47057847332572e-05,3.3372818757069263e-07
8000000,183,847,920000,7723008.0,19840128,3.5774279555367983,3.763655185699463,isoflop,3.7641389177453695,True,False,False,train,5.024651502069027e-05,8.258558532859354e-09
8000000,183,847,920000,7723008.0,19840128,3.5774279555367983,3.763655185699463,isoflop,3.7641389177453695,True,False,False,train,5.024651502069027e-05,8.258558532859354e-09
8000000,334,1856,3680000,7723008.0,79347712,3.265592631882643,3.3205113410949707,isoflop,3.2838862796850994,True,False,False,train,1.6177532682857877e-05,1.059122707799881e-05
8000000,334,1856,3680000,7723008.0,79347712,3.265592631882643,3.3205113410949707,isoflop,3.2838862796850994,True,False,False,train,1.6177532682857877e-05,1.059122707799881e-05
8000000,611,4057,14700000,7723008.0,317289856,3.0513545587560085,3.011070251464844,isoflop,3.012810717106404,True,False,False,train,1.2790028820052147e-05,1.6695835811043037e-07
8000000,611,4057,14700000,7723008.0,317289856,3.0513545587560085,3.011070251464844,isoflop,3.012810717106404,True,False,False,train,1.2790028820052147e-05,1.6695835811043037e-07
8000000,1119,8890,59000000,7723008.0,1273332480,2.918730716660078,2.840320348739624,isoflop,2.859486605080769,True,False,False,train,2.6731991037712566e-05,6.225255341343272e-06
8000000,1119,8890,59000000,7723008.0,1273332480,2.918730716660078,2.840320348739624,isoflop,2.859486605080769,True,False,False,train,2.6731991037712566e-05,6.225255341343272e-06
