N,B,K,C,loss,split,type,filtered
10000000,1536,80000,940000000,2.637547016143799,test,isotoken,
10000000,3072,40000,940000000,2.64854383468628,test,isotoken,
10000000,6144,20000,940000000,2.65970230102539,test,isotoken,
10000000,12288,10000,940000000,2.690234899520874,test,isotoken,
10000000,24576,5000,940000000,2.748302698135376,test,isotoken,
10000000,49152,2500,940000000,2.8607027530670166,test,isotoken,
10000000,98304,1250,940000000,3.063674211502075,test,isotoken,
10000000,196608,625,940000000,3.3924367427825928,test,isotoken,
10000000,393216,313,950000000,3.7987852096557617,test,isotoken,
10000000,192,160000,240000000,2.68318772315979,test,isotoken,
10000000,384,80000,240000000,2.689140558242798,test,isotoken,
10000000,768,40000,240000000,2.695758581161499,test,isotoken,
10000000,1536,20000,240000000,2.6975772380828857,test,isotoken,
10000000,3072,10000,240000000,2.7222256660461426,test,isotoken,
10000000,6144,5000,240000000,2.77849555015564,test,isotoken,
10000000,12288,2500,240000000,2.8825876712799072,test,isotoken,
10000000,24576,1250,240000000,3.078185796737671,test,isotoken,
10000000,49152,625,240000000,3.419505834579468,test,isotoken,
10000000,98304,312,240000000,3.861030340194702,test,isotoken,
10000000,196608,156,240000000,4.370802879333496,test,isotoken,
10000000,48,160000,59000000,2.7705628871917725,test,isotoken,
10000000,96,80000,59000000,2.7687368392944336,test,isotoken,
10000000,192,40000,59000000,2.775090217590332,test,isotoken,
10000000,384,20000,59000000,2.78394103050232,test,isotoken,
10000000,768,10000,59000000,2.797574281692505,test,isotoken,
10000000,1536,5000,59000000,2.841461181640625,test,isotoken,
10000000,3072,2500,59000000,2.929311037063598,test,isotoken,
10000000,6144,1250,59000000,3.096064567565918,test,isotoken,
10000000,12288,625,59000000,3.433868408203125,test,isotoken,
10000000,24576,313,59000000,3.847842216491699,test,isotoken,
10000000,49152,156,59000000,4.409134864807129,test,isotoken,
10000000,98304,78,59000000,4.8686137199401855,test,isotoken,
