x_coords,chin_loss
0.25,3.8667401785378814
0.2738225433606322,3.8156784430441815
0.2999151410099412,3.766094429636711
0.328494106814819,3.717946858033356
0.35979636722805175,3.6711956570852613
0.3940814254652045,3.625801931545567
0.43163351284826285,3.581727929832834
0.47276394515118186,3.538937012762614
0.5178137034820122,3.4973936232214475
0.5671562610977313,3.4570632567583806
0.6212006795867503,3.4179124330698643
0.6803950000871885,3.3799086683546804
0.7452299576549262,3.343020448516276
0.8162430495744324,3.307217203190625
0.8940229913396389,3.272469280578428
0.9792145972460016,3.2387479230611813
1.072524126055029,3.2060252435813
1.1747251360481092,3.1742742027671595
1.2866648980094317,3.143468586784551
1.4092714193031646,3.113582985896693
1.5435611372761617,3.084592773715549
1.6906473457663542,3.0564740871278127
1.8517494245745811,3.0292038068795004
2.0282029484143957,3.0027595388037
2.221470759145452,2.9771195956765473
2.4331550930819286,2.952262979687106
2.665010863914277,2.9281693655073338
2.918960211362894,2.904819083948875
3.197108436175504,2.8821931061939328
3.50176145357324,2.860273028588003
3.835444909838596,2.8390410579827394
4.20092512052638,2.8184799976177426
4.601232003880415,2.798573233530526
5.039684199579494,2.7793047214844315
5.519916581052995,2.760658974404707
6.045910389449826,2.742621050313457
6.622026239078487,2.725176540754617
7.253040267941252,2.708311559700588
7.944183733059024,2.6920127329325827
8.701186378841534,2.67626718788723
9.530323938037112,2.661062543962379
10.438470159056155,2.646386903275524
11.433153790987273,2.6322288418686823
12.52262099872556,2.6185774013540057
13.715903725649165,2.6054220809948276
15.02289457058731,2.5927528302172864
16.45442879982739,2.5805600415480776
18.02237417406069,2.5688345439743387
19.739729334953076,2.5575675967220692
21.62073156698934,2.546750883449929
23.680974827962125,2.5363765068556847
25.93753902660678,2.526436983692996
28.409131619124484,2.5169252401966546
31.1162426984625,2.507834607914836
34.08131486207883,2.4991588199473362
37.32892926643573,2.4908920075892094
40.8860094106583,2.483028697379663
44.78204433877278,2.4755638085565
49.049333110925474,2.4684926509168394
53.7232525703059,2.4618109230853142
58.84255062562716,2.4555147111913764
64.44966748054392,2.449600487957823
70.5910874730783,2.4440651122030963
77.31772444188461,2.438905828760421
84.68534381413349,2.43412026881728
92.7550249142225,2.429706450679261
101.59366732596479,2.425662780962768
111.2745455061186,2.4219880562216276
121.87791624713513,2.4186814650131137
133.4916840251387,2.4157425904094585
146.21212974902934,2.4131714129614457
160.14470895221595,2.4109683141212384
175.40492604417582,2.4091340801321497
192.11929186959938,2.407669906393649
210.4263725135092,2.4065774023104844
230.4779380472038,2.4058585966353974
252.44022073839838,2.4055159433155433
276.4952931564304,2.405552327853354
302.8425775973497,2.405971074193236
331.70049934238347,2.4067759521461842
363.3082974556928,2.407971185365052
397.9280081333554,2.4095614598839643
435.84663704602303,2.411551933236068
477.3785386844812,2.413948244164578
522.8680224334666,2.416756522942854
572.6922069787034,2.4199834023200357
627.264146710889,2.4236360291096073
687.0362560452497,2.4277220764390863
752.5040600451069,2.432249756679942
824.2103024430126,2.4372278350777354
902.7494451159259,2.4426656441034074
988.7725963161697,2.448573098547633
1082.9929085143563,2.454960711381128
1186.1914906037186,2.461839610404858
1299.2238834793982,2.4692215557151505
1423.0271526768265,2.4771189580098127
1558.6276568688286,2.485544897762529
1707.1495566241822,2.4945131452939595
1869.8241339672377,2.5040381817692032
2048.000000000001,2.5141352211525687
