C,N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,actual_N,D,type,nqs_loss,N_raw,K_raw
920000,4000000,234,1171,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",4369568,35073792,random_isoflop,3.576732113856768,4000000,1171
3680000,8000000,334,1856,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",7723008,79347712,random_isoflop,3.265592631882643,8000000,1856
14700000,16000000,446,2705,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",15877200,154423040,random_isoflop,3.017352727208575,16000000,2705
59000000,32000000,620,4135,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",29987232,328153600,random_isoflop,2.783610770326182,32000000,4135
236000000,64000000,816,5903,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",63790848,616556544,random_isoflop,2.5937573278569017,64000000,5903
944000000,128000000,1128,8993,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",121123072,1298445312,random_isoflop,2.4080943776587977,128000000,8993
3780000000,256000000,1499,12992,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",252798416,2492801024,random_isoflop,2.254300016486664,256000000,12992
15100000000,512000000,2003,18908,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",519186432,4847708672,random_isoflop,2.1130930109445254,512000000,18908
60500000000,1024000000,2695,27794,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",1051646976,9587818240,random_isoflop,1.982581739202454,1024000000,27794
