N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D,NN_loss
2000000,1056,8246,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,2197440,1114635910.8781128,3.190852642059326
4000000,783,5594,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,4369568,560630747.9366381,3.0600175857543945
8000000,611,4057,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,7723008,317265844.6035534,3.011070251464844
16000000,446,2705,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,15877200,154431985.4886252,3.008141040802002
32000000,338,1886,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,29987232,81612718.37293953,3.058268547058105
64000000,244,1232,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,63790848,38474021.10095794,3.2212471961975098
128000000,184,860,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,121123072,20254125.12654897,3.493612289428711
256000000,134,564,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,252798416,9678804.949474052,3.829614400863648
1000000,848,6201,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,911712,673132287.3889999,3.5142624378204346
2000000,578,3772,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,2197440,279095849.7160332,3.330634832382202
4000000,428,2563,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,4369568,140436736.99551076,3.27344274520874
8000000,334,1856,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,7723008,79356138.95518431,3.3205113410949707
16000000,244,1237,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,15877200,38640630.84171013,3.373067617416382
32000000,185,862,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,29987232,20415643.56456775,3.523257255554199
64000000,133,565,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,63790848,9615936.881729493,3.820277452468872
250000,865,6368,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,217472,705022071.8069453,4.1438822746276855
500000,610,4055,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,484096,316607615.01850873,3.869227886199951
1000000,463,2838,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,911712,168219858.9028114,3.675530910491944
2000000,316,1724,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,2197440,69736420.56210864,3.616412401199341
4000000,234,1171,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,4369568,35081560.465473935,3.6576504707336426
8000000,183,847,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,7723008,19841553.96446566,3.763655185699463
16000000,134,565,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,15877200,9688180.787544403,3.893961191177368
