h_i_dict,loss,filter_mask
"{'N': 16000000, 'B': 818, 'K': 5918, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 59000000}",2.7724592685699463,False
"{'N': 16000000, 'B': 446, 'K': 2705, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.008141040802002,False
"{'N': 16000000, 'B': 244, 'K': 1237, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.373067617416382,False
"{'N': 16000000, 'B': 134, 'K': 565, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.893961191177368,False
"{'N': 10000000, 'B': 24576, 'K': 78, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",4.875792503356934,False
"{'N': 10000000, 'B': 12288, 'K': 156, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",4.484762668609619,False
"{'N': 10000000, 'B': 6144, 'K': 313, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.871474981307984,False
"{'N': 10000000, 'B': 3072, 'K': 625, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.46268081665039,False
"{'N': 10000000, 'B': 1536, 'K': 1250, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.179990291595459,False
"{'N': 10000000, 'B': 768, 'K': 2500, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.0484282970428467,False
"{'N': 10000000, 'B': 384, 'K': 5000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",2.9785048961639404,False
"{'N': 10000000, 'B': 192, 'K': 10000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",2.939060926437378,True
"{'N': 10000000, 'B': 96, 'K': 20000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",2.927408695220948,True
