Model,Train,Mid IsoFLOP,Test IsoFLOP,Test IsoToken
NQS,2.824695898244445e-05,1.3990210862896945e-05,2.96879021481038e-05,5.331962218384655e-05
Chinchilla,8.262914921321826e-06,2.5522050604655168e-05,9.025389742505406e-05,9.841597920605196e-05
