Model,Train,Mid IsoFLOP,Test IsoFLOP,Test IsoToken
NQS,0.0013155019605795486,0.0004085803958249697,0.0027985434881015923,0.003096795802828187
Chinchilla,0.000247728934121784,0.0007781992020035664,0.009125706115815743,0.02760400897022287
