Configuration,N,MSE,Huber
All IsoFLOPs (Train),144,0.0007122368197772308,9.33876622472995e-06
Train max 6e19 (Train),75,0.0005569205345694119,9.61560718871987e-06
Train max 6e19 (Test),24,0.0010217517274782866,2.810458362417582e-05
