Model,Train,Mid IsoFLOP,Test IsoFLOP,Test IsoToken
NQS,2.556403893924995e-05,1.3990210862896972e-05,2.96879021481038e-05,5.3319622183846526e-05
Chinchilla,7.423032987896925e-06,2.552205060465513e-05,9.025389742505406e-05,9.831508568216183e-05
