N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
64000000,9134,135200,60500000000,63790848.0,158069350400,2.331942618137829,2.207321882247925,isoflop,2.3922700745305514,test,5.4421699200971786e-05,7.996277443010674e-05
128000000,6909,94137,60500000000,121123072.0,83250244224,2.1898413619506245,2.1008901596069336,isoflop,2.3433600555295984,test,4.0967963296823117e-05,0.00010872468014474118
256000000,5014,62150,60500000000,252798416.0,39887372800,2.067328666968512,2.02454137802124,isoflop,2.303190149844155,test,2.041407989873839e-05,0.0001284519886619319
512000000,3665,41399,60500000000,519186432.0,19421098880,1.9845389096303052,1.985023856163025,isoflop,2.278830996613564,test,2.98491776329144e-08,0.000137531658411494
1024000000,2695,27794,60500000000,1051646976.0,9587818240,1.964490488157947,1.973216772079468,isoflop,2.268611857402549,test,3.932172139696377e-06,0.0001390030375978059
2048000000,2011,19007,60500000000,2060953600.0,4892553856,2.005572071960924,2.1012773513793945,isoflop,2.271682790222373,test,4.6116079638766465e-05,7.747545175765452e-05
64000000,4990,61766,15100000000,63790848.0,39451179520,2.3344580633389374,2.2394676208496094,isoflop,2.4132178177501467,test,4.104160303913157e-05,7.422288265521244e-05
128000000,3775,43003,15100000000,121123072.0,20779049600,2.202559525331555,2.160145998001098,isoflop,2.370649000985725,test,1.894429364119271e-05,9.248794665901922e-05
256000000,2740,28383,15100000000,252798416.0,9954485760,2.1143825454836582,2.116562366485596,isoflop,2.340161610551904,test,5.304181407051472e-07,9.992674397689066e-05
512000000,2003,18908,15100000000,519186432.0,4847708672,2.0931695126239966,2.1188433170318604,isoflop,2.32857430824672,test,1.1690904164587346e-05,9.388586081340328e-05
1024000000,1473,12693,15100000000,1051646976.0,2393188992,2.1425845928532645,2.162545919418335,isoflop,2.3351705353314625,test,8.773340055800493e-06,7.629872884562122e-05
2048000000,1099,8681,15100000000,2060953600.0,1221173632,2.2410844029311345,2.709017276763916,isoflop,2.359535661112082,test,0.00018912608344993893,0.00013762109471270517
32000000,3793,43278,3780000000,29987232.0,21011642112,2.492223555771912,2.39976167678833,isoflop,2.5114721715962647,test,3.730587519533818e-05,4.499967266988231e-05
64000000,2730,28263,3780000000,63790848.0,9876222720,2.353737527069764,2.3070130348205566,isoflop,2.450248395281006,test,1.9550872508494024e-05,5.973577595349061e-05
128000000,2065,19674,3780000000,121123072.0,5200231680,2.2567293836117304,2.2616961002349854,isoflop,2.4189050473759104,test,1.6984289179463047e-06,6.669995937635704e-05
256000000,1499,12992,3780000000,252798416.0,2492801024,2.2331252059039253,2.251399517059326,isoflop,2.4054962788318885,test,7.649988431793375e-06,6.57042047828213e-05
512000000,1095,8654,3780000000,519186432.0,1212944640,2.2870425079088967,2.2939155101776123,isoflop,2.416557440203778,test,2.5006856202073884e-06,5.158379477678149e-05
16000000,2734,28318,944000000,15877200.0,9909940736,2.666869143623181,2.562262296676636,isoflop,2.622312875178536,mid,3.9514601098660506e-05,2.266612725113354e-05
32000000,2073,19776,944000000,29987232.0,5247442944,2.518136342781175,2.475144624710083,isoflop,2.559602480951082,mid,1.672025286876283e-05,3.305313701592688e-05
64000000,1492,12918,944000000,63790848.0,2467027968,2.4214129210571294,2.410891532897949,isoflop,2.5159515645539656,mid,3.854611711881784e-06,4.2154477922564605e-05
