Panel,Train_N,Test_N,Train_MSE,Test_MSE,Train_Huber,Test_Huber
All IsoFLOPs,144,0,0.0007122368197772308,,9.33876622472995e-06,
Train max 6e19,75,24,0.0005569205345694119,0.0010217517274782866,9.61560718871987e-06,2.810458362417582e-05
