N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D
32000000,3793,43278,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000,29987232,21011642535.863262
64000000,2730,28263,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000,63790848,9876361067.970127
128000000,2065,19674,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000,121123072,5200181359.733016
256000000,1499,12992,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000,252798416,2492853404.081456
512000000,1095,8654,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000,519186432,1213003088.6477401
16000000,2734,28318,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,15877200,9909781218.85471
32000000,2073,19776,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,29987232,5247448443.65762
64000000,1492,12918,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,63790848,2466936829.558999
128000000,1128,8993,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,121123072,1298376072.8922067
256000000,819,5940,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,252798416,622686635.8213257
512000000,599,3952,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,519186432,302981148.5982746
