N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
10000000,48,2500,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,96,1250,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,192,625,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
100000000,12,160000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,24,80000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,48,40000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,96,20000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,192,10000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,384,5000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,768,2500,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,1536,1250,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,3072,625,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,6,80000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,12,40000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,24,20000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,48,10000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,96,5000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,192,2500,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,384,1250,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,768,625,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,3,40000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,6,20000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,12,10000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,24,5000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,48,2500,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,96,1250,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,192,625,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
