train_slice_count,train_flops,test_flops,overlap_flops,train_n,test_n_pure,test_n_all,train_mse,test_mse_pure,test_mse_all,train_huber,test_huber_pure,test_huber_all,fitted_A,fitted_B,fitted_E,fitted_N_power,fitted_D_power
2,"['5.5e+18', '9.7e+18']","['1.0e+21', '3.0e+21']",None,40,24,24,0.0010930584255697377,0.0034273735480264017,0.0034273735480264017,1.1028471741614491e-05,4.616084388746523e-05,4.616084388746523e-05,11.697707079192353,13319270.382562937,4.008347125464531e-13,0.07552320814913807,0.794278257845723
3,"['5.5e+18', '9.7e+18', '2.8e+19']","['1.0e+21', '3.0e+21']",None,59,24,24,0.0007257530828242519,0.0015516865998023242,0.0015516865998023242,1.0392997668571645e-05,3.5020259932808696e-05,3.5020259932808696e-05,58.06095239320649,7964912.691386752,1.796482138370292,0.21523379521028316,0.7700214149366096
4,"['5.5e+18', '9.7e+18', '2.8e+19', '5.6e+19']","['1.0e+21', '3.0e+21']",None,75,24,24,0.0005569205345694119,0.0010217517274782866,0.0010217517274782866,9.61560718871987e-06,2.810458362417582e-05,2.810458362417582e-05,176.86984783403102,3628603.2362255706,1.9516834819925577,0.28545358658501047,0.7291106545615326
5,"['5.5e+18', '9.7e+18', '2.8e+19', '5.6e+19', '8.7e+19']","['1.0e+21', '3.0e+21']",None,94,24,24,0.000634690243305981,0.0006780281183308589,0.0006780281183308589,8.753370095288323e-06,2.219821791330992e-05,2.219821791330992e-05,381.0199708667216,519875.1286308091,2.00166255008984,0.33303159068248933,0.6350823129713634
6,"['5.5e+18', '9.7e+18', '2.8e+19', '5.6e+19', '8.7e+19', '2.8e+20']","['1.0e+21', '3.0e+21']",None,107,24,24,0.0007048052829999871,0.00032333433921129506,0.00032333433921129506,8.825297773131003e-06,1.5604505953815623e-05,1.5604505953815623e-05,469.9262355074866,129999.05871759598,1.9667261398660536,0.34523688063898894,0.5660907280823373
7,"['5.5e+18', '9.7e+18', '2.8e+19', '5.6e+19', '8.7e+19', '2.8e+20', '5.6e+20']","['1.0e+21', '3.0e+21']",None,120,24,24,0.0006848337423538093,0.00023403388554095144,0.00023403388554095144,8.891381141349701e-06,1.3188230614895464e-05,1.3188230614895464e-05,615.6461485278433,82802.89178936224,1.9661188812996175,0.36092204383289606,0.5435089980055104
8,"['5.5e+18', '9.7e+18', '2.8e+19', '5.6e+19', '8.7e+19', '2.8e+20', '5.6e+20', '1.0e+21']","['1.0e+21', '3.0e+21']",['1.0e+21'],135,9,24,0.0007231035446668479,0.00022434484775830802,0.00016519271803981217,9.135612189551896e-06,1.2916513220493618e-05,1.0896908902329424e-05,793.9009066892373,44146.558684308024,1.960220906474451,0.37563416863868176,0.5129575346042734
9,"['5.5e+18', '9.7e+18', '2.8e+19', '5.6e+19', '8.7e+19', '2.8e+20', '5.6e+20', '1.0e+21', '3.0e+21']","['1.0e+21', '3.0e+21']","['1.0e+21', '3.0e+21']",144,0,24,0.0007122368197772308,,0.00013269005783937197,9.33876622472995e-06,,9.603990384698884e-06,828.8948190745398,34589.771119084275,1.949932093967106,0.3780697696570138,0.5006874887939112
