N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,nqs_loss,actual_N,NN_loss,D
10000000,48,40000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,2.805658114246727,10171392.0,2.919383764266968,245760000
10000000,96,20000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,2.813499015658272,10171392.0,2.927408695220948,245760000
10000000,192,10000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,2.858323619549126,10171392.0,2.939060926437378,245760000
10000000,384,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,2.960315822242152,10171392.0,2.9785048961639404,245760000
10000000,768,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,3.124124448002796,10171392.0,3.0484282970428467,245760000
10000000,1536,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,3.3551404735577526,10171392.0,3.179990291595459,245760000
10000000,3072,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,3.658304342467988,10171392.0,3.46268081665039,245760000
10000000,6144,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,4.0376738222303015,10171392.0,3.871474981307984,246153216
10000000,12288,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,4.502893561744945,10171392.0,4.484762668609619,245366784
10000000,24576,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15000000,5.054239262508106,10171392.0,4.875792503356934,245366784
10000000,48,10000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,2.89016902350955,10171392.0,3.153156280517578,61440000
10000000,96,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,2.9811214460573803,10171392.0,3.183351516723633,61440000
10000000,192,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,3.138132295672646,10171392.0,3.2490904331207275,61440000
