actual_N,N,B,K,NN_loss,type,C,D,NN_loss_bin,color,NBK_product,nqs_loss
10171392.0,10000000,192,10000,2.939060926437378,NBK,15.0,245760000,1,"(0.973381, 0.46152, 0.361965)",19529072640000.0,2.8582568029374
10171392.0,10000000,384,5000,2.9785048961639404,NBK,15.0,245760000,1,"(0.973381, 0.46152, 0.361965)",19529072640000.0,2.944185058884319
10171392.0,10000000,768,2500,3.0484282970428467,NBK,15.0,245760000,2,"(0.828886, 0.262229, 0.430644)",19529072640000.0,3.0970978479320372
10171392.0,10000000,1536,1250,3.179990291595459,NBK,15.0,245760000,2,"(0.828886, 0.262229, 0.430644)",19529072640000.0,3.3232722229866045
10171392.0,10000000,3072,625,3.46268081665039,NBK,15.0,245760000,2,"(0.828886, 0.262229, 0.430644)",19529072640000.0,3.628194302619443
10171392.0,10000000,6144,313,3.871474981307984,NBK,15.0,246153216,3,"(0.594508, 0.175701, 0.501241)",19560319156224.0,4.017012570268072
10171392.0,10000000,12288,156,4.484762668609619,NBK,15.0,245366784,4,"(0.372116, 0.092816, 0.499053)",19497826123776.0,4.500850982407069
10171392.0,10000000,24576,78,4.875792503356934,NBK,15.0,245366784,5,"(0.135053, 0.068391, 0.315)",19497826123776.0,5.081812834214169
10171392.0,10000000,48,10000,3.153156280517578,NBK,3.7,61440000,2,"(0.828886, 0.262229, 0.430644)",4882268160000.0,2.9329377392989713
10171392.0,10000000,96,5000,3.183351516723633,NBK,3.7,61440000,2,"(0.828886, 0.262229, 0.430644)",4882268160000.0,2.9923757441032777
10171392.0,10000000,192,2500,3.2490904331207275,NBK,3.7,61440000,2,"(0.828886, 0.262229, 0.430644)",4882268160000.0,3.1292372583474037
10171392.0,10000000,384,1250,3.380913496017456,NBK,3.7,61440000,2,"(0.828886, 0.262229, 0.430644)",4882268160000.0,3.3450337167096293
10171392.0,10000000,768,625,3.574624538421631,NBK,3.7,61440000,3,"(0.594508, 0.175701, 0.501241)",4882268160000.0,3.6423089048644623
10171392.0,10000000,1536,313,3.9669268131256095,NBK,3.8,61538304,3,"(0.594508, 0.175701, 0.501241)",4890079789056.0,4.02636802248675
10171392.0,10000000,3072,156,4.439056873321533,NBK,3.7,61341696,4,"(0.372116, 0.092816, 0.499053)",4874456530944.0,4.506888665172881
10171392.0,10000000,6144,78,4.838035106658936,NBK,3.7,61341696,5,"(0.135053, 0.068391, 0.315)",4874456530944.0,5.0854636920103164
10171392.0,10000000,12288,39,5.4544453620910645,NBK,3.7,61341696,5,"(0.135053, 0.068391, 0.315)",4874456530944.0,5.7729534152297175
10171392.0,10000000,24,5000,3.5472400188446045,NBK,0.94,15360000,3,"(0.594508, 0.175701, 0.501241)",1220567040000.0,3.185133176766932
10171392.0,10000000,48,2500,3.5741004943847656,NBK,0.94,15360000,3,"(0.594508, 0.175701, 0.501241)",1220567040000.0,3.257790785270047
10171392.0,10000000,96,1250,3.652743577957153,NBK,0.94,15360000,3,"(0.594508, 0.175701, 0.501241)",1220567040000.0,3.4320761262767725
10171392.0,10000000,192,625,3.828984260559082,NBK,0.94,15360000,3,"(0.594508, 0.175701, 0.501241)",1220567040000.0,3.6987648975632164
10171392.0,10000000,384,313,4.116951942443848,NBK,0.94,15384576,4,"(0.372116, 0.092816, 0.499053)",1222519947264.0,4.0637881492520185
10171392.0,10000000,768,156,4.496960163116455,NBK,0.94,15335424,4,"(0.372116, 0.092816, 0.499053)",1218614132736.0,4.5310383818246445
10171392.0,10000000,1536,78,4.911468982696533,NBK,0.94,15335424,5,"(0.135053, 0.068391, 0.315)",1218614132736.0,5.100066643907353
10171392.0,10000000,3072,39,5.477995872497559,NBK,0.94,15335424,5,"(0.135053, 0.068391, 0.315)",1218614132736.0,5.781460940581705
