actual_N,N,B,K,NN_loss,type
10171392.0,10000000,1536,1250,3.095710515975952,NBK
10171392.0,10000000,3072,625,3.2410824298858643,NBK
10171392.0,10000000,6144,313,3.555004358291626,NBK
10171392.0,10000000,12288,156,4.068428039550781,NBK
10171392.0,10000000,24576,78,4.487559795379639,NBK
10171392.0,10000000,48,10000,3.2179923057556152,NBK
10171392.0,10000000,96,5000,3.219118356704712,NBK
10171392.0,10000000,192,2500,3.2500596046447754,NBK
10171392.0,10000000,384,1250,3.2839183807373047,NBK
10171392.0,10000000,768,625,3.419713497161865,NBK
10171392.0,10000000,1536,313,3.6444058418273926,NBK
10171392.0,10000000,3072,156,4.135161876678467,NBK
10171392.0,10000000,6144,78,4.506621837615967,NBK
10171392.0,10000000,12288,39,5.035983562469482,NBK
10171392.0,10000000,24,5000,3.575183391571045,NBK
10171392.0,10000000,48,2500,3.585289001464844,NBK
10171392.0,10000000,96,1250,3.6185710430145264,NBK
10171392.0,10000000,192,625,3.684698820114136,NBK
10171392.0,10000000,384,313,3.845865488052368,NBK
10171392.0,10000000,768,156,4.159063339233398,NBK
10171392.0,10000000,1536,78,4.645560264587402,NBK
10171392.0,10000000,3072,39,5.052084922790527,NBK
7723008.0,8000000,384,102400,2.7283360958099365,isotokens
7723008.0,8000000,768,51200,2.733182668685913,isotokens
7723008.0,8000000,1536,25600,2.744407892227173,isotokens
7723008.0,8000000,3072,12800,2.7561049461364746,isotokens
15877200.0,16000000,192,102400,2.617446184158325,isotokens
15877200.0,16000000,384,51200,2.623086929321289,isotokens
15877200.0,16000000,768,25600,2.6229968070983887,isotokens
15877200.0,16000000,1536,12800,2.6403305530548096,isotokens
15877200.0,16000000,3072,6400,2.669450759887696,isotokens
29987232.0,32000000,96,102400,2.5697133541107178,isotokens
29987232.0,32000000,192,51200,2.563207626342773,isotokens
29987232.0,32000000,384,25600,2.567275047302246,isotokens
29987232.0,32000000,768,12800,2.5800487995147705,isotokens
29987232.0,32000000,1536,6400,2.599734306335449,isotokens
29987232.0,32000000,3072,3200,2.6600828170776367,isotokens
63790848.0,64000000,48,102400,2.561723232269287,isotokens
