actual_N,N,B,K,NN_loss,type
10171392.0,10000000,1536,1250,3.179990291595459,NBK
10171392.0,10000000,3072,625,3.46268081665039,NBK
10171392.0,10000000,6144,313,3.871474981307984,NBK
10171392.0,10000000,12288,156,4.484762668609619,NBK
10171392.0,10000000,24576,78,4.875792503356934,NBK
10171392.0,10000000,48,10000,3.153156280517578,NBK
10171392.0,10000000,96,5000,3.183351516723633,NBK
10171392.0,10000000,192,2500,3.2490904331207275,NBK
10171392.0,10000000,384,1250,3.380913496017456,NBK
10171392.0,10000000,768,625,3.574624538421631,NBK
10171392.0,10000000,1536,313,3.9669268131256095,NBK
10171392.0,10000000,3072,156,4.439056873321533,NBK
10171392.0,10000000,6144,78,4.838035106658936,NBK
10171392.0,10000000,12288,39,5.4544453620910645,NBK
10171392.0,10000000,24,5000,3.5472400188446045,NBK
10171392.0,10000000,48,2500,3.5741004943847656,NBK
10171392.0,10000000,96,1250,3.652743577957153,NBK
10171392.0,10000000,192,625,3.828984260559082,NBK
10171392.0,10000000,384,313,4.116951942443848,NBK
10171392.0,10000000,768,156,4.496960163116455,NBK
10171392.0,10000000,1536,78,4.911468982696533,NBK
10171392.0,10000000,3072,39,5.477995872497559,NBK
7723008.0,8000000,384,102400,2.7283360958099365,isotokens
7723008.0,8000000,768,51200,2.733182668685913,isotokens
7723008.0,8000000,1536,25600,2.744407892227173,isotokens
7723008.0,8000000,3072,12800,2.7561049461364746,isotokens
15877200.0,16000000,192,102400,2.617446184158325,isotokens
15877200.0,16000000,384,51200,2.623086929321289,isotokens
15877200.0,16000000,768,25600,2.6229968070983887,isotokens
15877200.0,16000000,1536,12800,2.6403305530548096,isotokens
15877200.0,16000000,3072,6400,2.669450759887696,isotokens
29987232.0,32000000,96,102400,2.5697133541107178,isotokens
29987232.0,32000000,192,51200,2.563207626342773,isotokens
29987232.0,32000000,384,25600,2.567275047302246,isotokens
29987232.0,32000000,768,12800,2.5800487995147705,isotokens
29987232.0,32000000,1536,6400,2.599734306335449,isotokens
29987232.0,32000000,3072,3200,2.6600828170776367,isotokens
63790848.0,64000000,48,102400,2.561723232269287,isotokens
63790848.0,64000000,96,51200,2.551641702651977,isotokens
63790848.0,64000000,192,25600,2.5418701171875,isotokens
63790848.0,64000000,384,12800,2.543448209762573,isotokens
63790848.0,64000000,768,6400,2.5635502338409424,isotokens
63790848.0,64000000,1536,3200,2.6087183952331543,isotokens
63790848.0,64000000,3072,1600,2.7212584018707275,isotokens
121123072.0,128000000,24,102400,3.3567328453063965,isotokens
121123072.0,128000000,48,51200,2.7338509559631348,isotokens
121123072.0,128000000,96,25600,2.624451160430908,isotokens
121123072.0,128000000,192,12800,2.593287706375122,isotokens
121123072.0,128000000,384,6400,2.600717782974243,isotokens
121123072.0,128000000,768,3200,2.643631935119629,isotokens
121123072.0,128000000,1536,1600,2.728762626647949,isotokens
252798416.0,256000000,24,51200,3.483883857727051,isotokens
252798416.0,256000000,48,25600,3.2656121253967285,isotokens
252798416.0,256000000,96,12800,2.905355453491211,isotokens
252798416.0,256000000,192,6400,2.747541904449463,isotokens
252798416.0,256000000,384,3200,2.7557592391967773,isotokens
252798416.0,256000000,768,1600,2.840871572494507,isotokens
519186432.0,512000000,24,25600,3.700432300567627,isotokens
519186432.0,512000000,48,12800,3.4795186519622803,isotokens
519186432.0,512000000,96,6400,3.1998720169067383,isotokens
519186432.0,512000000,192,3200,3.1380257606506348,isotokens
519186432.0,512000000,384,1600,3.130809783935547,isotokens
